Height	Width	Area	Aspect_Ratio
3.0360000000000005	1.242	2.980386	0.4090909090909091
5.934	1.9320000000000002	6.941538	0.32558139534883723
4.140000000000001	2.346	5.922684	0.5666666666666667
7.176	3.8640000000000003	16.930116	0.5384615384615384
7.728000000000001	2.7600000000000002	11.740626	0.35714285714285715
9.798	4.2780000000000005	33.098472	0.43661971830985913
11.040000000000001	3.588	20.358036000000002	0.325
9.246	3.7260000000000004	24.04305	0.40298507462686567
10.488000000000001	2.484	17.720442000000002	0.23684210526315788
8.418000000000001	2.208	11.064564	0.26229508196721313
8.142000000000001	3.3120000000000003	14.682924000000002	0.4067796610169492
12.834000000000001	5.244000000000001	56.693988000000004	0.40860215053763443
11.316	1.5180000000000002	11.312136	0.13414634146341464
13.110000000000001	2.346	19.9962	0.17894736842105263
13.524000000000001	3.3120000000000003	26.699688000000002	0.24489795918367346
8.832	2.346	9.836226000000002	0.265625
9.66	5.658	31.032198000000005	0.5857142857142857
3.3120000000000003	3.45	8.655498000000001	1.0416666666666667
2.7600000000000002	3.588	5.541804000000001	1.3
13.524000000000001	5.106000000000001	42.563340000000004	0.37755102040816324
10.488000000000001	4.2780000000000005	33.85071000000001	0.40789473684210525
2.484	1.794	2.7518580000000004	0.7222222222222222
5.658	4.002000000000001	14.187780000000002	0.7073170731707317
12.834000000000001	5.5200000000000005	48.99069000000001	0.43010752688172044
4.002000000000001	4.692	14.016384000000002	1.1724137931034482
15.870000000000001	6.348000000000001	67.339584	0.4
4.140000000000001	4.554	12.388122000000001	1.1
11.040000000000001	5.658	42.90613200000001	0.5125
8.142000000000001	3.7260000000000004	20.691306	0.4576271186440678
6.210000000000001	4.2780000000000005	15.454206000000001	0.6888888888888889
7.452000000000001	4.692	22.481442	0.6296296296296297
11.040000000000001	3.45	21.710160000000002	0.3125
15.732000000000001	5.658	46.762542	0.35964912280701755
5.244000000000001	4.554	12.864222000000002	0.868421052631579
9.246	3.8640000000000003	19.28205	0.417910447761194
12.834000000000001	5.658	48.647898000000005	0.44086021505376344
4.83	2.346	7.560468000000001	0.4857142857142857
19.458000000000002	7.176	86.38358400000001	0.36879432624113473
11.316	5.658	36.42165000000001	0.5
7.038	4.416	16.396884	0.6274509803921569
6.9	3.1740000000000004	10.836036000000002	0.46
9.246	3.588	23.18607	0.3880597014925373
8.142000000000001	2.0700000000000003	11.673972000000001	0.2542372881355932
7.728000000000001	4.416	18.177498000000003	0.5714285714285714
6.210000000000001	4.002000000000001	18.025146000000003	0.6444444444444445
10.488000000000001	3.0360000000000005	23.662170000000003	0.2894736842105263
12.144000000000002	4.83	34.050672000000006	0.3977272727272727
13.110000000000001	4.554	33.869754	0.3473684210526316
13.386000000000001	5.5200000000000005	43.56315000000001	0.41237113402061853
10.626000000000001	1.5180000000000002	11.80728	0.14285714285714285
13.938	3.8640000000000003	31.879656000000004	0.27722772277227725
9.246	5.106000000000001	32.193882	0.5522388059701493
16.698	5.244000000000001	44.582004000000005	0.3140495867768595
13.386000000000001	4.554	40.163796000000005	0.3402061855670103
8.004000000000001	3.3120000000000003	10.398024000000001	0.41379310344827586
8.832	4.140000000000001	23.805000000000003	0.46875
12.972000000000001	4.554	41.363568	0.35106382978723405
4.83	2.484	6.1893	0.5142857142857142
2.208	1.3800000000000001	1.9615320000000003	0.625
3.3120000000000003	2.346	4.123026	0.7083333333333334
5.934	2.208	8.303184000000002	0.37209302325581395
14.076	3.45	36.012204000000004	0.24509803921568626
6.7620000000000005	2.0700000000000003	7.398594000000001	0.30612244897959184
13.386000000000001	1.794	19.234440000000003	0.13402061855670103
14.352	4.968	51.40927800000001	0.34615384615384615
13.662	2.0700000000000003	20.491344	0.15151515151515152
15.456000000000001	5.106000000000001	57.10343400000001	0.33035714285714285
4.692	2.6220000000000003	6.741576	0.5588235294117647
17.112000000000002	4.692	61.464510000000004	0.27419354838709675
16.974	3.588	41.811102000000005	0.21138211382113822
13.386000000000001	4.002000000000001	39.402036	0.29896907216494845
13.662	1.9320000000000002	19.596276000000003	0.1414141414141414
19.044	4.83	58.322250000000004	0.2536231884057971
12.144000000000002	3.45	26.480682	0.2840909090909091
7.314000000000001	4.968	25.433262000000003	0.6792452830188679
15.318000000000001	5.5200000000000005	63.65457000000001	0.36036036036036034
16.146	6.348000000000001	78.57554400000001	0.39316239316239315
11.316	4.968	37.526202000000005	0.43902439024390244
4.002000000000001	2.208	5.008572000000001	0.5517241379310345
8.694	6.348000000000001	27.423360000000002	0.7301587301587301
18.216	6.072000000000001	91.39215600000001	0.3333333333333333
3.3120000000000003	1.794	2.799468	0.5416666666666666
6.072000000000001	3.7260000000000004	13.464108000000001	0.6136363636363636
11.868	2.7600000000000002	24.852420000000002	0.23255813953488372
10.350000000000001	2.898	18.872604000000003	0.28
18.354000000000003	6.072000000000001	71.919666	0.3308270676691729
19.182000000000002	7.314000000000001	99.92386800000001	0.381294964028777
3.0360000000000005	2.346	4.960962	0.7727272727272727
20.424000000000003	6.486000000000001	100.780848	0.31756756756756754
2.208	2.6220000000000003	3.0565620000000004	1.1875
19.734	7.176	97.82902800000001	0.36363636363636365
15.318000000000001	6.6240000000000006	62.51193000000001	0.43243243243243246
2.7600000000000002	2.0700000000000003	3.0565620000000004	0.75
18.354000000000003	6.072000000000001	82.64143800000001	0.3308270676691729
3.1740000000000004	3.0360000000000005	4.722912000000001	0.9565217391304348
4.83	2.7600000000000002	8.99829	0.5714285714285714
9.384	4.554	25.347564000000002	0.4852941176470588
3.588	2.6220000000000003	5.875074000000001	0.7307692307692307
